Load_ID,Name,Gender,Married,Dependent,Education,Self_Employed,Application_No,Loan_Amount
LID1000,Alice,Female,No,2,Graduate,No,APP5000,384193.0
LID1001,John,Female,Yes,,Not Graduate,No,APP5001,171298.0
LID1002,David,Female,Yes,1,Not Graduate,Yes,APP5002,214895.0
LID1003,Emily,Female,Yes,3+,Not Graduate,No,APP5003,411120.0
LID1004,Emily,Female,Yes,3+,Graduate,,APP5004,326032.0
LID1005,Bob,Female,,1,Graduate,No,APP5005,
LID1006,Alice,Male,No,1,Not Graduate,No,APP5006,243331.0
LID1007,Daniel,Male,No,2,Not Graduate,Yes,APP5007,341119.0
LID1008,Alice,Female,Yes,2,Graduate,Yes,APP5008,68655.0
LID1009,Olivia,,Yes,0,Not Graduate,Yes,APP5009,496626.0
LID1010,Michael,Female,No,3+,Graduate,Yes,APP5010,20355.0
LID1011,John,Male,,2,Not Graduate,No,APP5011,437776.0
LID1012,John,Male,No,2,Graduate,No,APP5012,
LID1013,Alice,Female,Yes,0,Graduate,Yes,APP5013,174271.0
LID1014,Emily,Female,No,1,Not Graduate,Yes,APP5014,384717.0
LID1015,Emily,Female,No,3+,Not Graduate,No,APP5015,94229.0
LID1016,Daniel,,No,3+,Not Graduate,No,APP5016,384641.0
LID1017,Olivia,Male,No,,Not Graduate,Yes,APP5017,198399.0
LID1018,John,Female,Yes,1,Not Graduate,Yes,APP5018,286835.0
LID1019,Daniel,Female,Yes,1,Not Graduate,Yes,APP5019,494742.0
LID1020,Emily,Female,Yes,0,Not Graduate,No,APP5020,32520.0
LID1021,Daniel,Female,No,0,Not Graduate,No,APP5021,416536.0
LID1022,Michael,Female,No,1,Not Graduate,No,APP5022,
LID1023,Emily,Male,Yes,2,Graduate,No,APP5023,
LID1024,Emma,Male,No,,Not Graduate,Yes,APP5024,143268.0
LID1025,Olivia,Female,Yes,0,Not Graduate,Yes,APP5025,326257.0
LID1026,David,Male,,3+,Graduate,Yes,APP5026,203996.0
LID1027,John,Male,No,,Not Graduate,No,APP5027,94306.0
LID1028,Bob,Male,Yes,1,Graduate,No,APP5028,310897.0
LID1029,Michael,Female,No,2,Graduate,Yes,APP5029,71211.0
LID1030,Sophia,Male,Yes,1,Graduate,Yes,APP5030,82595.0
LID1031,David,Male,No,0,Graduate,Yes,APP5031,470462.0
LID1032,Bob,Female,No,0,Graduate,No,APP5032,474487.0
LID1033,Emily,Male,Yes,0,Graduate,No,APP5033,239241.0
LID1034,Sophia,Male,,2,Graduate,No,APP5034,278554.0
LID1035,Alice,Male,No,,Not Graduate,,APP5035,307978.0
LID1036,Alice,Female,Yes,0,Not Graduate,Yes,APP5036,261955.0
LID1037,Michael,Male,,,Graduate,,APP5037,173774.0
LID1038,Alice,Male,Yes,2,Not Graduate,No,APP5038,258077.0
LID1039,Sophia,Female,Yes,0,Not Graduate,,APP5039,143313.0
LID1040,Sophia,Male,Yes,3+,Graduate,No,APP5040,377968.0
LID1041,Olivia,Female,No,3+,Not Graduate,Yes,APP5041,297822.0
LID1042,David,Male,Yes,0,Graduate,Yes,APP5042,132074.0
LID1043,John,Female,No,3+,Not Graduate,No,APP5043,390492.0
LID1044,Emma,Female,Yes,0,Not Graduate,Yes,APP5044,369361.0
LID1045,Daniel,Female,,3+,Not Graduate,No,APP5045,264315.0
LID1046,Alice,Female,,0,Not Graduate,Yes,APP5046,11882.0
LID1047,Michael,Male,No,,Not Graduate,No,APP5047,250445.0
LID1048,Alice,Female,Yes,2,Graduate,Yes,APP5048,103522.0
LID1049,Daniel,Female,No,3+,Graduate,Yes,APP5049,183493.0
LID1050,David,Female,No,0,Graduate,Yes,APP5050,314604.0
LID1051,Olivia,Female,,2,Not Graduate,No,APP5051,274445.0
LID1052,Sophia,,No,2,Graduate,No,APP5052,403714.0
LID1053,Olivia,Female,No,2,Graduate,No,APP5053,376464.0
LID1054,Emily,Male,No,2,Not Graduate,Yes,APP5054,85739.0
LID1055,Alice,Female,Yes,0,Graduate,No,APP5055,60396.0
LID1056,John,Female,Yes,2,Graduate,,APP5056,119706.0
LID1057,Emily,Male,No,2,Not Graduate,Yes,APP5057,207152.0
LID1058,David,Female,Yes,1,Graduate,No,APP5058,460007.0
LID1059,Alice,Male,Yes,,Graduate,Yes,APP5059,111441.0
LID1060,Emily,Male,No,1,Graduate,No,APP5060,103541.0
LID1061,Alice,Male,No,1,Not Graduate,No,APP5061,226823.0
LID1062,Michael,Female,,2,Graduate,No,APP5062,166033.0
LID1063,David,,Yes,2,Graduate,Yes,APP5063,307641.0
LID1064,Emma,Male,Yes,1,Not Graduate,Yes,APP5064,82222.0
LID1065,Sophia,Female,Yes,1,Graduate,No,APP5065,61189.0
LID1066,Bob,Female,No,1,Not Graduate,Yes,APP5066,131124.0
LID1067,Sophia,Male,No,2,Graduate,Yes,APP5067,
LID1068,Sophia,Female,No,1,Not Graduate,Yes,APP5068,144857.0
LID1069,Emily,Female,Yes,1,Graduate,Yes,APP5069,
LID1070,David,Female,,1,Not Graduate,No,APP5070,242314.0
LID1071,Alice,Female,Yes,0,Not Graduate,Yes,APP5071,67037.0
LID1072,Olivia,Female,No,1,Graduate,Yes,APP5072,49075.0
LID1073,Bob,Female,,2,Not Graduate,No,APP5073,116183.0
LID1074,Daniel,Female,No,3+,Graduate,Yes,APP5074,268292.0
LID1075,Emily,Male,Yes,2,Graduate,Yes,APP5075,179975.0
LID1076,Bob,Male,Yes,2,Graduate,No,APP5076,147915.0
LID1077,Emma,Female,Yes,1,Not Graduate,Yes,APP5077,30760.0
LID1078,Michael,Female,Yes,1,Not Graduate,Yes,APP5078,388779.0
LID1079,David,Female,Yes,,Not Graduate,Yes,APP5079,106676.0
LID1080,Daniel,,No,2,Not Graduate,No,APP5080,216126.0
LID1081,Emily,Female,Yes,1,Graduate,No,APP5081,149664.0
LID1082,Sophia,Female,No,1,Not Graduate,No,APP5082,263797.0
LID1083,John,Female,No,2,Graduate,,APP5083,62244.0
LID1084,Emily,Male,Yes,,Not Graduate,Yes,APP5084,343870.0
LID1085,John,Female,No,1,Not Graduate,No,APP5085,63239.0
LID1086,Sophia,Male,Yes,3+,Graduate,Yes,APP5086,32859.0
LID1087,Michael,Female,Yes,2,Graduate,,APP5087,306586.0
LID1088,David,Female,No,3+,Graduate,No,APP5088,39522.0
LID1089,Alice,Male,Yes,1,Not Graduate,No,APP5089,149420.0
LID1090,Emily,Male,Yes,1,Not Graduate,Yes,APP5090,330174.0
LID1091,Olivia,Female,,,Graduate,Yes,APP5091,217105.0
LID1092,Sophia,Male,Yes,0,Graduate,Yes,APP5092,58112.0
LID1093,Emily,Male,Yes,3+,Not Graduate,No,APP5093,437049.0
LID1094,Emma,Female,Yes,1,Graduate,Yes,APP5094,145649.0
LID1095,Michael,Female,No,0,Not Graduate,Yes,APP5095,94668.0
LID1096,Emma,Male,No,3+,Not Graduate,Yes,APP5096,187259.0
LID1097,Bob,Male,,3+,Graduate,Yes,APP5097,375070.0
LID1098,David,Female,Yes,3+,Graduate,Yes,APP5098,389765.0
LID1099,Bob,Female,No,3+,Not Graduate,Yes,APP5099,
LID1100,Emily,,No,0,Graduate,Yes,APP5100,480939.0
LID1101,Daniel,Female,No,3+,Graduate,No,APP5101,254958.0
LID1102,Daniel,Male,No,3+,Graduate,Yes,APP5102,451989.0
LID1103,David,Male,Yes,0,Graduate,,APP5103,130105.0
LID1104,Olivia,Female,No,3+,Not Graduate,Yes,APP5104,362272.0
LID1105,Michael,Female,No,0,Not Graduate,No,APP5105,103222.0
LID1106,Olivia,Female,Yes,1,Not Graduate,Yes,APP5106,243664.0
LID1107,Michael,Male,No,3+,Graduate,,APP5107,11676.0
LID1108,Sophia,Female,Yes,0,Graduate,Yes,APP5108,229354.0
LID1109,Emily,Male,No,0,Not Graduate,Yes,APP5109,98069.0
LID1110,Bob,Male,Yes,3+,Not Graduate,Yes,APP5110,467032.0
LID1111,Daniel,Female,No,2,Not Graduate,Yes,APP5111,361097.0
LID1112,Emma,Male,Yes,2,Not Graduate,Yes,APP5112,10103.0
LID1113,Alice,Male,No,3+,Graduate,Yes,APP5113,253423.0
